Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.366405;1431.891232;-10311.60561;9028.869712;-2.265597058;0.970970168;3.88388067;11743.49684;-19340.47532;7596.97848
0.366470;1675.511615;-10435.90172;8874.742531;-1.941940335;0.647313445;3.560223948;12111.41334;-19310.64425;7199.230916
0.366535;1963.878599;-10485.62017;8680.840593;-1.941940335;0.647313445;3.88388067;12449.49877;-19166.46076;6716.961994
0.366600;2247.273739;-10599.97259;8476.994967;-1.941940335;0.647313445;3.88388067;12847.24633;-19076.96756;6229.721228
0.366665;2490.894122;-10684.49395;8337.783319;-2.265597058;0.647313445;3.88388067;13175.38807;-19022.27727;5846.889197
0.366730;2734.514505;-10764.04346;8148.853226;-1.941940335;0.647313445;3.88388067;13498.55797;-18912.89669;5414.338721
0.366795;3022.88149;-10848.56482;7945.007599;-2.265597058;0.647313445;3.88388067;13871.44631;-18793.57242;4922.12611
0.366860;3266.501873;-10967.88909;7741.161972;-2.58925378;0.647313445;4.207537393;14234.39096;-18709.05106;4474.6601
0.366925;3549.897012;-11017.60753;7537.316346;-2.265597058;0.647313445;4.207537393;14567.50455;-18554.92388;3987.419333
0.366990;3838.263997;-11092.1852;7333.470719;-2.265597058;0.323656723;4.207537393;14930.4492;-18425.65592;3495.206722
0.367055;4081.88438;-11136.9318;7099.794025;-2.265597058;0.323656723;4.207537393;15218.81618;-18236.72583;3017.909645
0.367120;4365.279519;-11181.6784;6856.173642;-2.265597058;0.323656723;4.207537393;15546.95792;-18037.85205;2490.894122
0.367185;4613.871747;-11186.65025;6642.384326;-2.265597058;0.323656723;4.207537393;15800.522;-17829.03458;2028.512579
0.367250;4897.266887;-11221.45316;6408.707632;-2.265597058;0;4.207537393;16118.72005;-17630.16079;1511.440745
0.367315;5140.88727;-11261.22792;6165.087248;-1.941940335;0;4.207537393;16402.11519;-17426.31517;1024.199978
0.367380;5384.507653;-11301.00267;5916.495021;-1.941940335;0;4.531194115;16685.51033;-17217.49769;531.9873674
0.367445;5633.099881;-11305.97452;5702.705705;-2.265597058;-0.323656723;4.207537393;16939.0744;-17008.68022;69.60582377
0.367510;5836.945508;-11271.17161;5439.197943;-1.941940335;0;4.531194115;17108.11711;-16710.36955;-397.7475644
0.367575;6040.791135;-11231.39685;5215.464938;-1.941940335;0;4.531194115;17272.18798;-16446.86179;-825.3261962
0.367640;6324.186274;-11226.42501;4951.957177;-1.941940335;-0.323656723;4.207537393;17550.61128;-16178.38218;-1372.229097
0.367705;6567.806657;-11226.42501;4698.393105;-1.941940335;-0.323656723;4.531194115;17794.23166;-15924.81811;-1869.413553
0.367770;6771.652284;-11191.62209;4419.96981;-1.941940335;-0.323656723;4.531194115;17963.27438;-15611.5919;-2351.682475
0.367835;6975.497911;-11146.87549;4136.57467;-1.941940335;-0.647313445;4.531194115;18122.3734;-15283.45016;-2838.923241
