Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0,5131100;-9535,997857;-84,52135744;9948,660955;-1,29462689;1,941940335;0,970970168;-9451,476499;-10033,18231;19484,65881
0,5131750;-9411,701743;-333,1135852;10067,98522;-1,618283613;1,941940335;1,29462689;-9078,588158;-10401,09881;19479,68697
0,5132400;-9287,405629;-616,5087248;10227,08425;-1,618283613;1,941940335;0,970970168;-8670,896904;-10843,59297;19514,48988
0,5133050;-9128,306603;-865,1009526;10326,52114;-1,29462689;1,941940335;1,29462689;-8263,205651;-11191,62209;19454,82774
0,5133700;-9004,010489;-1108,721336;10406,07065;-1,29462689;1,941940335;1,29462689;-7895,289154;-11514,79199;19410,08114
0,5134350;-8760,390106;-1392,116475;10520,42308;-1,618283613;1,941940335;1,29462689;-7368,273631;-11912,53955;19280,81319
0,5135000;-8675,868749;-1640,708703;10639,74735;-1,618283613;2,265597058;1,29462689;-7035,160046;-12280,45605;19315,6161
0,5135650;-8516,769723;-1884,329086;10734,21239;-1,618283613;1,941940335;1,29462689;-6632,440637;-12618,54148;19250,98212
0,5136300;-8352,698853;-2167,724226;10843,59297;-1,618283613;1,618283613;1,29462689;-6184,974627;-13011,3172;19196,29183
0,5136950;-8148,853226;-2456,09121;10938,05802;-1,618283613;1,941940335;1,29462689;-5692,762016;-13394,14923;19086,91125
0,5137600;-7945,007599;-2739,48635;11017,60753;-1,941940335;1,941940335;1,618283613;-5205,521249;-13757,09388;18962,61513
0,5138250;-7741,161972;-3027,853334;11097,15705;-1,941940335;1,941940335;1,29462689;-4713,308638;-14125,01038;18838,31902
0,5138900;-7577,091102;-3271,473717;11181,6784;-1,941940335;1,941940335;1,618283613;-4305,617385;-14453,15212;18758,76951
0,5139550;-7333,470719;-3515,094101;11231,39685;-1,941940335;1,941940335;1,618283613;-3818,376618;-14746,49095;18564,86757
0,5140200;-7129,625092;-3803,461085;11271,17161;-2,265597058;1,941940335;1,618283613;-3326,164007;-15074,63269;18400,7967
0,5140850;-6886,004709;-4086,856224;11310,94636;-2,265597058;1,941940335;1,618283613;-2799,148485;-15397,80259;18196,95107
0,5141500;-6642,384326;-4375,223209;11355,69296;-2,265597058;1,941940335;1,941940335;-2267,161117;-15730,91617;17998,07729
0,5142150;-6438,538699;-4618,843592;11395,46772;-2,265597058;1,618283613;1,618283613;-1819,695107;-16014,31131;17834,00642
0,5142800;-6189,946471;-4907,210576;11405,41141;-2,265597058;1,941940335;1,941940335;-1282,735895;-16312,62199;17595,35788
0,5143450;-5986,100844;-5150,830959;11435,24248;-2,265597058;1,941940335;1,941940335;-835,2698853;-16586,07344;17421,34332
0,5144100;-5742,480461;-5394,451342;11475,01723;-2,58925378;1,618283613;1,941940335;-348,0291189;-16869,46858;17217,49769
0,5144750;-5498,860078;-5603,268814;11455,12986;-2,265597058;1,941940335;1,941940335;104,4087357;-17058,39867;16953,98993
0,5145400;-5255,239695;-5846,889197;11385,52403;-2,58925378;1,618283613;2,265597058;591,6495021;-17232,41323;16640,76373
0,5146050;-4966,872711;-6090,50958;11330,83374;-2,58925378;1,618283613;2,265597058;1123,636869;-17421,34332;16297,70645
0,5146700;-4683,477571;-6334,129963;11320,89005;-2,265597058;1,618283613;2,265597058;1650,652392;-17655,02002;16004,36762
0,5147350;-4479,631944;-6542,947435;11320,89005;-2,265597058;1,618283613;2,58925378;2063,31549;-17863,83749;15800,522
0,5148000;-4196,236805;-6746,793061;11261,22792;-2,58925378;1,618283613;2,265597058;2550,556257;-18008,02098;15457,46472
0,5148650;-3947,644577;-6990,413445;11211,50947;-2,58925378;1,618283613;2,58925378;3042,768868;-18201,92292;15159,15405
0,5149300;-3624,474681;-7234,033828;11141,90365;-2,58925378;1,618283613;2,58925378;3609,559147;-18375,93748;14766,37833
0,5149950;-3380,854298;-7477,654211;11117,04443;-2,58925378;1,618283613;2,58925378;4096,799913;-18594,69864;14497,89872
0,5150600;-3132,26207;-7651,66877;11057,38229;-2,58925378;1,618283613;2,912910503;4519,406701;-18709,05106;14189,64436
0,5151250;-2848,86693;-7850,542553;10977,83278;-2,58925378;1,618283613;2,912910503;5001,675623;-18828,37533;13826,69971
0,5151900;-2565,47179;-8054,388179;10893,31142;-2,58925378;1,29462689;2,912910503;5488,916389;-18947,6996;13458,78321
0,5152550;-2277,104806;-8258,233806;10813,76191;-2,58925378;1,618283613;2,912910503;5981,129;-19071,99571;13090,86671
0,5153200;-2073,25918;-8427,276521;10734,21239;-2,58925378;1,29462689;2,912910503;6354,017342;-19161,48892;12807,47157
0,5153850;-1789,86404;-8591,347391;10619,85997;-2,58925378;0,970970168;2,912910503;6801,483352;-19211,20736;12409,72401
0,5154500;-1501,497056;-8755,418262;10530,36677;-2,265597058;1,29462689;3,236567225;7253,921206;-19285,78503;12031,86382
0,5155150;-1218,101916;-8919,489132;10416,01434;-2,58925378;1,29462689;3,236567225;7701,387216;-19335,50348;11634,11626
0,5155800;-974,4815328;-9083,560002;10326,52114;-2,58925378;0,970970168;3,236567225;8109,07847;-19410,08114;11301,00267
0,5156450;-730,8611496;-9242,659028;10212,16872;-2,265597058;0,970970168;3,236567225;8511,797879;-19454,82774;10943,02987
0,5157100;-482,2689219;-9371,926987;10053,06969;-2,58925378;0,970970168;3,236567225;8889,658065;-19424,99668;10535,33861
0,5157750;-198,8737822;-9496,2231;9928,773577;-2,58925378;0,970970168;3,236567225;9297,349318;-19424,99668;10127,64736
0,5158400;84,52135744;-9655,322126;9809,449307;-2,58925378;0,970970168;3,236567225;9739,843484;-19464,77143;9724,92795
0,5159050;372,8883416;-9779,61824;9645,378437;-2,265597058;0,970970168;3,560223948;10152,50658;-19424,99668;9272,490095
0,5159700;616,5087248;-9938,717266;9521,082323;-2,265597058;0,970970168;3,560223948;10555,22599;-19459,79959;8904,573598
0,5160350;860,1291081;-10067,98522;9396,786209;-2,265597058;0,647313445;3,236567225;10928,11433;-19464,77143;8536,657101
0,5161000;1103,749491;-10187,30949;9237,687184;-1,941940335;0,970970168;3,560223948;11291,05898;-19424,99668;8133,937692
0,5161650;1392,116475;-10276,8027;9078,588158;-2,265597058;0,970970168;3,560223948;11668,91917;-19355,39085;7686,471682
0,5162300;1675,511615;-10396,12696;8914,517288;-2,58925378;0,970970168;3,560223948;12071,63858;-19310,64425;7239,005672
0,5162950;1919,131998;-10480,64832;8785,249329;-2,265597058;0,970970168;3,560223948;12399,78032;-19265,89765;6866,117331
0,5163600;2167,724226;-10560,19784;8626,150303;-2,265597058;0,647313445;3,88388067;12727,92206;-19186,34814;6458,426077
0,5164250;2411,344609;-10679,5221;8437,22021;-2,265597058;0,647313445;3,88388067;13090,86671;-19116,74231;6025,875601
0,5164900;2694,739749;-10803,81822;8263,205651;-2,265597058;0,647313445;3,88388067;13498,55797;-19067,02387;5568,465902
0,5165550;3022,88149;-10888,33958;8039,472646;-2,265597058;0,647313445;3,88388067;13911,22107;-18927,81222;5016,591156
0,5166200;3266,501873;-10933,08618;7855,514397;-2,265597058;0,647313445;3,88388067;14199,58805;-18788,60057;4589,012524
0,5166850;3510,122256;-10977,83278;7631,781392;-1,941940335;0,647313445;4,207537393;14487,95503;-18609,61417;4121,659136
0,5167500;3798,48924;-11052,41045;7417,992076;-2,265597058;0,647313445;4,207537393;14850,89969;-18470,40252;3619,502836
0,5168150;4081,88438;-11131,95996;7214,14645;-2,265597058;0,323656723;4,207537393;15213,84434;-18346,10641;3132,26207
0,5168800;4365,279519;-11216,48132;6980,469756;-2,265597058;0,647313445;4,531194115;15581,76084;-18196,95107;2615,190236
0,5169450;4613,871747;-11226,42501;6731,877528;-1,941940335;0,647313445;4,531194115;15840,29675;-17958,30253;2118,005781
0,5170100;4857,49213;-11226,42501;6488,257145;-1,941940335;0,323656723;4,531194115;16083,91714;-17714,68215;1630,765014
0,5170750;5101,112514;-11296,03083;6274,467829;-1,618283613;0,647313445;4,531194115;16397,14334;-17570,49866;1173,355315
0,5171400;5384,507653;-11305,97452;6040,791135;-1,941940335;0,323656723;4,531194115;16690,48217;-17346,76565;656,2834813
